# City name -> IANA time zone, sorted by name for binary search.
# Generated by scripts/cities.py from GeoNames cities15000 (https://www.geonames.org),
# licensed under CC BY 4.0. Do not edit by hand.
ajim	Africa/Tunis
ajimeleu	Asia/Kolkata
ajka	Europe/Budapest
ajman	Asia/Dubai
ajmer	Asia/Kolkata
ajmer city	Asia/Kolkata
ajmeri	Asia/Kolkata
ajmir	Asia/Kolkata
ajmyr	Asia/Kolkata
ajnala	Asia/Kolkata
ajni	Asia/Kolkata
ajnāla	Asia/Kolkata
ajumeru	Asia/Kolkata
ajyn	Asia/Kolkata
ajānūr	Asia/Kolkata
ak mola	Asia/Almaty
ak su yangi shahr	Asia/Urumqi
akabwlkw	America/Mexico_City
akademgorodok	Asia/Novosibirsk
akademicheskoe	Europe/Moscow
akadyr	Africa/Casablanca
akaike	Asia/Tokyo
akaiwa	Asia/Tokyo
akalainda	Pacific/Auckland
akalkot	Asia/Kolkata
akalkuva	Asia/Kolkata
akaltara	Asia/Kolkata
akalyanda	Pacific/Auckland
akamatapat	Asia/Kolkata
akanda	Africa/Libreville
akapoulko	America/Mexico_City
akapul'ka	America/Mexico_City
akapul'ko	America/Mexico_City
